sku_id,category,subcategory,launch_date,unit_cost,list_price
SKU001,Bedding,Bedsheets,2024-09-27,5936.35,10915.72
SKU002,Home Decor,Wall Art,2024-08-02,747.24,1553.93
SKU003,Bedding,Mattress Protectors,2024-05-31,5311.84,7175.08
SKU004,Bedding,Pillows,2024-10-20,306.0,671.06
SKU005,Furniture,Chairs,2024-11-09,4340.62,7330.22
SKU006,Furniture,Tables,2024-02-28,3378.93,4534.52
SKU007,Bedding,Mattress Protectors,2024-09-27,3811.74,7648.86
SKU008,Kitchen,Dinnerware,2024-02-24,7870.88,13538.6
SKU009,Electronics,Fans,2024-05-14,1613.04,2191.39
SKU010,Bedding,Bedsheets,2024-11-11,4637.32,7637.09
SKU011,Home Decor,Lamps,2024-12-05,2155.9,4128.41
SKU012,Bedding,Bedsheets,2024-09-20,564.79,1196.44
SKU013,Bedding,Pillows,2024-12-25,6116.28,10291.5
SKU014,Home Decor,Cushions,2024-11-05,541.11,1113.63
SKU015,Bedding,Pillows,2024-07-20,7190.17,13216.32
SKU016,Bedding,Bedsheets,2024-07-08,2805.04,4627.78
SKU017,Home Decor,Wall Art,2024-02-22,4817.98,10448.9
SKU018,Bedding,Mattress Protectors,2024-02-10,2581.31,3739.65
SKU019,Furniture,Tables,2024-01-09,6246.28,9237.27
SKU020,Kitchen,Appliances,2024-03-21,5777.33,11619.12
SKU021,Kitchen,Cookware,2024-08-18,5313.29,11282.58
SKU022,Furniture,Chairs,2024-09-24,2847.91,3865.19
SKU023,Electronics,Fans,2024-06-20,5209.19,10931.44
SKU024,Furniture,Tables,2024-04-10,7782.18,16062.59
SKU025,Electronics,Speakers,2024-09-11,2271.73,3035.92
SKU026,Home Decor,Rugs,2024-06-27,542.0,1015.04
SKU027,Bedding,Bedsheets,2024-04-05,5655.47,8061.3
SKU028,Electronics,Fans,2024-06-19,1863.57,4004.01
SKU029,Kitchen,Appliances,2024-03-26,7079.6,13181.64
SKU030,Furniture,Sofas,2024-05-13,3815.32,5709.99
SKU031,Bedding,Pillows,2024-11-26,2797.46,3944.08
SKU032,Furniture,Tables,2024-07-08,1147.4,1727.0
SKU033,Furniture,Chairs,2024-08-20,2646.82,3833.1
SKU034,Kitchen,Cookware,2024-11-13,2010.23,2830.16
SKU035,Bedding,Mattress Protectors,2024-11-10,2788.66,4927.32
SKU036,Furniture,Chairs,2024-04-22,799.67,1222.31
SKU037,Bedding,Pillows,2024-10-21,4128.81,6485.5
SKU038,Furniture,Chairs,2024-03-21,2354.21,5129.71
SKU039,Bedding,Pillows,2024-12-08,2445.58,5178.37
SKU040,Kitchen,Storage,2024-05-09,4388.2,7473.13
SKU041,Bedding,Blankets,2024-07-21,3146.34,4775.97
SKU042,Electronics,Accessories,2024-04-07,5178.18,9228.54
SKU043,Furniture,Sofas,2024-05-03,4213.13,8115.46
SKU044,Kitchen,Dinnerware,2024-09-08,5517.25,7254.79
SKU045,Kitchen,Appliances,2024-05-26,2984.73,4138.5
SKU046,Furniture,Sofas,2024-05-07,4286.69,8804.6
SKU047,Kitchen,Dinnerware,2024-05-30,4469.15,8608.5
SKU048,Bedding,Mattress Protectors,2024-12-11,7862.7,13877.45
SKU049,Furniture,Beds,2024-10-30,7733.73,13939.77
SKU050,Kitchen,Appliances,2024-01-09,2447.31,4724.1
SKU051,Kitchen,Dinnerware,2024-05-31,3414.71,7167.45
SKU052,Bedding,Blankets,2024-04-22,1544.54,3256.97
SKU053,Bedding,Pillows,2024-08-14,3166.58,6795.86
SKU054,Furniture,Sofas,2024-12-03,4039.23,6881.16
SKU055,Electronics,Smart Lighting,2024-06-09,439.18,766.15
SKU056,Bedding,Mattress Protectors,2024-05-14,5851.24,9228.9
SKU057,Bedding,Blankets,2024-01-22,2178.72,4740.26
SKU058,Electronics,Fans,2024-09-20,5159.77,10398.64
SKU059,Furniture,Chairs,2024-11-12,4143.79,7520.17
SKU060,Furniture,Chairs,2024-01-17,7958.04,13711.31
SKU061,Electronics,Speakers,2024-04-08,6057.43,13070.51
SKU062,Electronics,Smart Lighting,2024-10-28,7743.24,16781.6
SKU063,Furniture,Chairs,2024-07-09,2653.87,3906.02
SKU064,Furniture,Chairs,2024-11-18,1605.09,2890.96
SKU065,Home Decor,Wall Art,2024-12-25,842.2,1253.22
SKU066,Home Decor,Wall Art,2024-06-03,2573.74,4093.01
SKU067,Furniture,Sofas,2024-10-25,5758.61,10351.32
SKU068,Home Decor,Wall Art,2024-01-26,6537.87,13601.16
SKU069,Electronics,Accessories,2024-11-08,5134.79,7573.03
SKU070,Bedding,Blankets,2024-05-22,3191.99,4419.58
SKU071,Kitchen,Cookware,2024-07-04,4478.36,6976.78
SKU072,Home Decor,Rugs,2024-12-07,2226.94,2972.86
SKU073,Kitchen,Dinnerware,2024-04-10,4321.27,8612.27
SKU074,Bedding,Mattress Protectors,2024-01-05,3820.94,7862.81
SKU075,Bedding,Pillows,2024-02-16,5686.24,8100.15
SKU076,Electronics,Speakers,2024-05-03,5802.38,7757.55
SKU077,Kitchen,Dinnerware,2024-02-27,904.11,1195.97
SKU078,Electronics,Speakers,2024-10-05,3598.02,6906.94
SKU079,Furniture,Beds,2024-05-01,1504.57,2294.8
SKU080,Furniture,Chairs,2024-08-24,2455.49,5302.33
SKU081,Electronics,Speakers,2024-12-14,3530.92,5377.44
SKU082,Kitchen,Cookware,2024-03-26,410.83,577.0
SKU083,Electronics,Fans,2024-04-03,6887.05,13314.68
SKU084,Bedding,Mattress Protectors,2024-08-05,6177.91,12517.82
SKU085,Bedding,Bedsheets,2024-09-10,3640.66,6038.6
SKU086,Home Decor,Rugs,2024-11-20,7127.44,10939.23
SKU087,Home Decor,Rugs,2024-05-26,4174.15,8644.0
SKU088,Electronics,Smart Lighting,2024-01-04,5042.05,10837.9
SKU089,Home Decor,Lamps,2024-06-08,7539.77,13706.75
SKU090,Home Decor,Wall Art,2024-02-02,3828.55,6857.14
SKU091,Electronics,Accessories,2024-11-18,6617.29,12482.43
SKU092,Kitchen,Dinnerware,2024-10-11,834.08,1159.96
SKU093,Home Decor,Lamps,2024-08-29,5559.15,7583.07
SKU094,Electronics,Speakers,2024-03-30,2922.81,4485.42
SKU095,Bedding,Pillows,2024-04-23,5142.86,10747.16
SKU096,Bedding,Bedsheets,2024-10-03,7750.37,13897.77
SKU097,Electronics,Smart Lighting,2024-07-10,4734.62,9272.67
SKU098,Bedding,Pillows,2024-04-05,2924.19,6250.99
SKU099,Electronics,Accessories,2024-07-01,6081.71,12036.24
SKU100,Furniture,Beds,2024-09-29,4414.32,7711.4
